Date,ADS_Index
1960:03:01,-0.578899
1960:03:02,-0.627759
1960:03:03,-0.673502
1960:03:04,-0.716147
1960:03:05,-0.755708
1960:03:06,-0.792203
1960:03:07,-0.825646
1960:03:08,-0.856049
1960:03:09,-0.883425
1960:03:10,-0.907784
1960:03:11,-0.929137
1960:03:12,-0.947491
1960:03:13,-0.962853
1960:03:14,-0.97523
1960:03:15,-0.984627
1960:03:16,-0.991047
1960:03:17,-0.994493
1960:03:18,-0.994966
1960:03:19,-0.992466
1960:03:20,-0.986992
1960:03:21,-0.978543
1960:03:22,-0.967115
1960:03:23,-0.952703
1960:03:24,-0.935301
1960:03:25,-0.914904
1960:03:26,-0.891502
1960:03:27,-0.865087
1960:03:28,-0.835648
1960:03:29,-0.803174
1960:03:30,-0.767652
1960:03:31,-0.729067
1960:04:01,-0.687406
1960:04:02,-0.649176
1960:04:03,-0.614364
1960:04:04,-0.582955
1960:04:05,-0.554937
1960:04:06,-0.530299
1960:04:07,-0.509031
1960:04:08,-0.491125
1960:04:09,-0.476575
1960:04:10,-0.465373
1960:04:11,-0.457517
1960:04:12,-0.453002
1960:04:13,-0.451827
1960:04:14,-0.453991
1960:04:15,-0.459496
1960:04:16,-0.468343
1960:04:17,-0.480536
1960:04:18,-0.49608
1960:04:19,-0.514981
1960:04:20,-0.537246
1960:04:21,-0.562885
1960:04:22,-0.591906
1960:04:23,-0.624322
1960:04:24,-0.660145
1960:04:25,-0.69939
1960:04:26,-0.742072
1960:04:27,-0.788207
1960:04:28,-0.837814
1960:04:29,-0.890912
1960:04:30,-0.947523
1960:05:01,-1.00767
1960:05:02,-1.06546
1960:05:03,-1.12092
1960:05:04,-1.17408
1960:05:05,-1.22494
1960:05:06,-1.27354
1960:05:07,-1.31989
1960:05:08,-1.36401
1960:05:09,-1.40592
1960:05:10,-1.44563
1960:05:11,-1.48316
1960:05:12,-1.51852
1960:05:13,-1.55173
1960:05:14,-1.58281
1960:05:15,-1.61175
1960:05:16,-1.63859
1960:05:17,-1.66331
1960:05:18,-1.68594
1960:05:19,-1.70649
1960:05:20,-1.72496
1960:05:21,-1.74135
1960:05:22,-1.75568
1960:05:23,-1.76796
1960:05:24,-1.77818
1960:05:25,-1.78635
1960:05:26,-1.79247
1960:05:27,-1.79655
1960:05:28,-1.79859
1960:05:29,-1.79858
1960:05:30,-1.79653
1960:05:31,-1.79244
1960:06:01,-1.78631
1960:06:02,-1.77945
1960:06:03,-1.77187
1960:06:04,-1.76356
1960:06:05,-1.75451
1960:06:06,-1.74473
1960:06:07,-1.73421
1960:06:08,-1.72295
1960:06:09,-1.71094
1960:06:10,-1.69818
1960:06:11,-1.68466
1960:06:12,-1.67038
1960:06:13,-1.65533
1960:06:14,-1.6395
1960:06:15,-1.6229
1960:06:16,-1.6055
1960:06:17,-1.58732
1960:06:18,-1.56833
1960:06:19,-1.54853
1960:06:20,-1.52792
1960:06:21,-1.50648
1960:06:22,-1.48421
1960:06:23,-1.46109
1960:06:24,-1.43713
1960:06:25,-1.4123
1960:06:26,-1.38661
1960:06:27,-1.36003
1960:06:28,-1.33257
1960:06:29,-1.3042
1960:06:30,-1.27492
1960:07:01,-1.24472
1960:07:02,-1.21544
1960:07:03,-1.18708
1960:07:04,-1.15962
1960:07:05,-1.13306
1960:07:06,-1.10738
1960:07:07,-1.08257
1960:07:08,-1.05862
1960:07:09,-1.03552
1960:07:10,-1.01327
1960:07:11,-0.99186
1960:07:12,-0.971273
1960:07:13,-0.951504
1960:07:14,-0.932547
1960:07:15,-0.914393
1960:07:16,-0.897035
1960:07:17,-0.880468
1960:07:18,-0.864683
1960:07:19,-0.849676
1960:07:20,-0.835439
1960:07:21,-0.821968
1960:07:22,-0.809257
1960:07:23,-0.797302
1960:07:24,-0.786096
1960:07:25,-0.775637
1960:07:26,-0.76592
1960:07:27,-0.756941
1960:07:28,-0.748697
1960:07:29,-0.741183
1960:07:30,-0.734399
1960:07:31,-0.72834
1960:08:01,-0.723004
1960:08:02,-0.718532
1960:08:03,-0.714921
1960:08:04,-0.712171
1960:08:05,-0.710279
1960:08:06,-0.709246
1960:08:07,-0.709072
1960:08:08,-0.709755
1960:08:09,-0.711296
1960:08:10,-0.713696
1960:08:11,-0.716956
1960:08:12,-0.721077
1960:08:13,-0.726061
1960:08:14,-0.731909
1960:08:15,-0.738624
1960:08:16,-0.746209
1960:08:17,-0.754666
1960:08:18,-0.763999
1960:08:19,-0.774211
1960:08:20,-0.785308
1960:08:21,-0.797292
1960:08:22,-0.810169
1960:08:23,-0.823943
1960:08:24,-0.838621
1960:08:25,-0.854207
1960:08:26,-0.870709
1960:08:27,-0.888132
1960:08:28,-0.906483
1960:08:29,-0.92577
1960:08:30,-0.946
1960:08:31,-0.967181
1960:09:01,-0.989322
1960:09:02,-1.0103
1960:09:03,-1.03012
1960:09:04,-1.04879
1960:09:05,-1.06632
1960:09:06,-1.08271
1960:09:07,-1.09798
1960:09:08,-1.11212
1960:09:09,-1.12515
1960:09:10,-1.13707
1960:09:11,-1.14788
1960:09:12,-1.15758
1960:09:13,-1.16619
1960:09:14,-1.17371
1960:09:15,-1.18013
1960:09:16,-1.18546
1960:09:17,-1.1897
1960:09:18,-1.19286
1960:09:19,-1.19493
1960:09:20,-1.19592
1960:09:21,-1.19583
1960:09:22,-1.19465
1960:09:23,-1.19239
1960:09:24,-1.18904
1960:09:25,-1.1846
1960:09:26,-1.17908
1960:09:27,-1.17247
1960:09:28,-1.16477
1960:09:29,-1.15597
1960:09:30,-1.14607
1960:10:01,-1.13506
1960:10:02,-1.12586
1960:10:03,-1.11845
1960:10:04,-1.11283
1960:10:05,-1.10901
1960:10:06,-1.10697
1960:10:07,-1.10672
1960:10:08,-1.10826
1960:10:09,-1.11159
1960:10:10,-1.11671
1960:10:11,-1.12362
1960:10:12,-1.13232
1960:10:13,-1.14282
1960:10:14,-1.15513
1960:10:15,-1.16924
1960:10:16,-1.18516
1960:10:17,-1.20291
1960:10:18,-1.22248
1960:10:19,-1.24388
1960:10:20,-1.26712
1960:10:21,-1.29222
1960:10:22,-1.31917
1960:10:23,-1.348
1960:10:24,-1.37871
1960:10:25,-1.41131
1960:10:26,-1.44583
1960:10:27,-1.48226
1960:10:28,-1.52063
1960:10:29,-1.56095
