Mkt-RF,SP500,VIXCLS,DEXJPUS,NIKKEI225,T10Y3M,ads_index,open,high,low,close
0.62,3039.42,13.11,109.02,22867.27,0.2,-0.670693,59.85361634155622,60.29631389353624,59.68427938783213,60.24793243408203
-0.13,3036.89,13.2,108.83,22974.13,0.21,-0.633029,60.22857513399101,60.41726539728767,58.68034638610345,58.85451889038086
0.27,3046.77,12.33,108.88,22843.12,0.16,-0.592919,59.21013748058748,59.340771493102224,58.35135634807599,58.84727096557617
-0.38,3037.56,13.22,108.09,22927.04,0.15,-0.550348,59.81007429084748,60.27696072813346,57.39579996123353,60.17777633666992
1.08,3066.91,12.3,108.16,22850.77,0.21,-0.505299,60.366472774633856,61.91228400555279,60.27454909942981,61.88567733764648
0.4,3078.27,12.83,108.56,0.0,0.26,-0.385475,62.25095562109887,62.37675406842773,61.77923359122959,62.292083740234375
-0.03,3074.62,13.1,109.13,23251.99,0.3,-0.349703,62.18322248317138,62.45900457958976,62.006632169799296,62.202579498291016
-0.05,3076.78,12.62,108.86,23303.82,0.25,-0.31588,62.11548092413971,62.289657128538586,61.77680702184672,62.22917938232422
0.38,3085.18,12.73,109.42,23330.32,0.36,-0.283994,62.77996737994367,63.17061725070498,62.627104708980646,62.9473876953125
0.31,3093.08,12.07,109.14,23391.87,0.39,-0.254031,62.7678324402251,63.19244763885565,62.321380777086304,63.119659423828125
-0.19,3087.01,12.69,0.0,23331.84,0.0,-0.176033,62.673211627487554,63.68501242654658,62.6683615471806,63.61950302124024
0.16,3091.84,12.68,109.09,23520.01,0.33,-0.15458,63.46178947553489,63.762664794129954,63.30893418053433,63.56127166748047
0.01,3094.04,13.0,108.83,23319.87,0.31,-0.135462,63.359872846088095,64.24549741946498,63.345315201954925,64.17028045654297
0.07,3096.63,13.05,108.33,23141.55,0.25,-0.118672,63.99559646791355,64.26977783848129,63.59524635009769,63.72627258300781
0.74,3120.46,12.05,108.8,23303.32,0.27,-0.104203,63.9785943224643,64.48813407634591,63.81603149630185,64.48328399658203
0.02,3122.03,12.46,108.61,23416.76,0.24,-0.0751124,64.49297777822619,64.88847767857798,64.11204292512954,64.80841064453125
0.02,3120.18,12.86,108.59,23292.65,0.22,-0.0707667,65.00253522318165,65.02680043562813,64.39352059758347,64.61189270019531
-0.33,3108.46,12.78,108.67,23148.57,0.16,-0.0691667,64.4298982751134,64.56091706043016,63.18273923965907,63.85969924926758
-0.14,3103.54,13.13,108.53,23038.58,0.19,-0.0703117,63.98101978099714,64.05866548144591,63.371997887948176,63.57339096069336
0.24,3110.29,12.34,108.67,23112.88,0.19,-0.0742021,63.71414431439459,63.85729947011863,63.289528928792784,63.517608642578125
0.92,3133.64,11.87,108.95,23292.81,0.15,-0.101567,63.74323334911777,64.64827300664805,63.69713167672846,64.63128662109375
0.19,3140.52,11.54,109.11,23373.32,0.14,-0.114866,64.76959712330974,64.82297762192836,63.69228699097197,64.1266098022461
0.44,3153.63,11.75,109.38,23437.77,0.15,-0.130128,64.43962095037773,65.02195648518189,64.37411153482903,64.98798370361328
-0.42,3140.98,12.62,109.47,23293.91,0.19,-0.166566,64.68710535192832,65.02679608936506,64.51725628085859,64.84481811523438
-0.87,3113.87,14.91,109.09,23529.5,0.23,-0.232175,64.84966833197973,65.08745555103717,63.92279947603112,64.0950698852539
-0.66,3093.2,15.96,108.53,23379.81,0.15,-0.251473,62.67563755579444,62.97165534468808,62.18551289749945,62.952247619628906
0.6,3112.76,14.8,108.87,23135.23,0.22,-0.26884,63.345306914007296,63.88881196973991,63.250674834821154,63.50786972045898
0.13,3117.43,14.52,108.69,23300.09,0.26,-0.284283,64.0052903120749,64.51483008219003,63.74809538705813,64.43960571289062
0.91,3145.91,13.62,108.66,23354.4,0.31,-0.297809,64.90063522878779,65.75471595857113,64.85695488212616,65.6843490600586
-0.33,3135.96,15.86,108.59,23430.7,0.29,-0.328144,65.51206720223725,65.7061740691037,64.27704430539639,64.7647476196289
-0.08,3132.52,15.68,108.73,23410.19,0.29,-0.336475,65.17238006166635,65.52905718776387,64.50754882650129,65.14326477050781
0.28,3141.63,14.99,108.67,23391.86,0.22,-0.344123,65.22332371193362,65.77896513146815,65.1481067508916,65.69889068603516
0.9,3168.57,13.94,109.16,23424.81,0.34,-0.351091,64.97339923238923,66.1332049327155,64.8617881763338,65.86630249023438
-0.03,3168.8,12.63,109.28,24023.1,0.25,-0.357382,65.86632540365066,66.79805183222895,65.73772791908735,66.76165771484375
0.74,3191.45,12.14,109.64,23952.35,0.32,-0.372008,67.21053321581095,68.13013067139462,67.20568313542343,67.90447235107422
0.1,3192.52,12.29,109.52,24066.12,0.33,-0.375194,67.83411127816119,68.36790889171998,67.64727581941831,68.03792572021484
-0.05,3191.14,12.58,109.58,23934.43,0.36,-0.377503,67.8899162277349,68.39945605856184,67.72492463442426,67.87535858154297
0.43,3205.37,12.5,109.23,23864.85,0.35,-0.378935,67.81712198639994,68.22475085305366,67.68367443989979,67.94329071044922
0.48,3221.22,12.51,109.45,23816.63,0.34,-0.379492,68.47951895132643,68.58142245745879,67.58903691790323,67.80255889892578
0.1,3224.01,12.61,109.39,23821.11,0.34,-0.375595,68.06703727734423,68.96964827389785,68.02821442317284,68.90898895263672
0.01,3223.38,12.67,109.38,23830.58,0.32,-0.372024,69.07640584681688,69.12493626330053,68.64694053927427,68.97449493408203
0.48,3239.91,12.65,109.67,23924.92,0.32,-0.361309,69.10794898659276,70.3599581877784,69.0788336989585,70.34297180175781
-0.1,3240.02,13.43,109.47,23837.72,0.31,-0.354162,70.63656718189156,71.328084944245,69.90865530672005,70.3162841796875
-0.57,3221.29,14.82,108.85,23656.62,0.33,-0.325967,70.23379504340416,71.01751623561914,69.20501519852759,70.73362731933594
0.28,3230.78,13.78,108.67,0.0,0.37,-0.314899,70.34781637655455,71.25770606743272,70.24833421512105,71.25042724609375
0.86,3257.85,12.47,108.43,0.0,0.34,-0.291272,71.87887074697332,72.93677321606523,71.62410454610695,72.87611389160156
-0.67,3234.85,14.02,107.94,0.0,0.28,-0.279519,72.09967202082721,72.93191618046808,71.94195925719045,72.16761016845703
0.36,3246.28,13.85,108.36,23204.86,0.25,-0.244721,71.28440041282616,72.78146811259656,71.03205559716632,72.74264526367188
-0.19,3237.18,13.79,108.53,23575.72,0.29,-0.233624,72.75235516776186,73.0095500710491,72.1797347882775,72.4005355834961
0.47,3253.05,13.45,109.03,23204.76,0.33,-0.222817,72.10209076035999,73.86848975837933,72.10209076035999,73.56519317626953
0.65,3274.7,12.54,109.47,23739.87,0.31,-0.212296,74.54788562646107,75.32189924678659,74.2955481524971,75.12779235839844
-0.34,3265.35,12.56,109.5,23850.57,0.29,-0.202056,75.36314712029383,75.86540811015097,74.792947982391,75.2976303100586
0.73,3288.13,12.32,109.93,0.0,0.28,-0.171676,75.61548631903649,76.93300498669282,75.4965890153409,76.90631103515625
-0.06,3283.15,12.39,110.05,24025.17,0.25,-0.159908,76.84323504363711,77.05432830760942,75.74408838267222,75.86782836914062
0.16,3289.29,12.42,109.94,23916.58,0.22,-0.147094,75.66644148102284,76.55206612161608,75.10837126298826,75.54269409179688
0.88,3316.81,12.32,110.16,23933.13,0.26,-0.13323,76.08864825308257,76.6006169292213,75.72469221586049,76.48899841308594
0.28,3329.62,12.1,110.16,24041.26,0.28,-0.118309,76.73889942705839,77.33821387940769,76.43075270881437,77.3357925415039
-0.32,3320.79,12.85,109.95,23864.56,0.22,-0.0515233,76.9621099356693,77.40613284519188,76.67337101573395,76.81167602539062
0.08,3321.75,12.91,109.93,24031.35,0.22,-0.0348109,77.29940637906765,77.64152594296763,76.991259599601,77.08589172363281
0.07,3325.54,12.98,109.39,23795.44,0.19,-0.0181983,77.13926847113889,77.53718986902385,76.58847695547476,77.45712280273438
-0.97,3295.47,14.56,109.31,23827.18,0.16,-0.00167906,77.70458837221877,78.45190793128157,77.04218593679563,77.23387145996094
-1.56,3243.63,18.23,108.95,23343.51,0.06,0.0478356,75.23211527237807,75.64702295242766,73.97525592527442,74.9627914428711
1.02,3276.24,16.28,109.17,23215.71,0.08,0.0649503,75.84841224029579,77.25570544733462,75.74893007082518,77.08343505859375
-0.11,3273.4,16.39,109.15,23379.4,0.04,0.0824564,78.72366202767802,79.54862723135386,77.9787638617933,78.69696807861328
0.34,3283.66,15.49,108.75,22977.75,0.0,0.100361,77.7749753196706,78.63633491792051,77.3406524061745,78.58295440673828
-1.74,3225.52,18.84,108.5,23205.18,-0.04,0.11867,77.86957678924057,78.29419200904285,74.80264556637076,75.09866333007812
0.84,3248.92,17.97,108.59,22971.94,-0.03,0.146746,73.83450807713612,76.06434487210358,73.32982588347541,74.89241027832031
1.57,3297.59,16.05,109.41,23084.59,0.04,0.137381,76.50596063187591,77.55658420732843,76.09833177611381,77.36489868164062
0.97,3334.69,15.15,109.74,23319.56,0.09,0.118649,78.49802696497989,78.79890229178956,77.38917998556852,77.99577331542969
0.27,3345.78,14.96,109.89,23873.59,0.08,0.0905444,78.26752994543332,78.91051742703088,77.70703827235167,78.90808868408203
-0.55,3327.71,15.47,109.81,23827.98,0.03,0.0530557,78.40462817924673,78.65513744666937,77.34178781724697,77.83551025390625
0.73,3352.09,15.04,109.77,23685.98,-0.02,-0.115567,76.41270521952211,78.20518493652344,76.33244814631327,78.20518493652344
0.28,3357.75,15.18,109.78,0.0,0.02,-0.19015,78.70377046902306,78.77673143922084,77.51445469886923,77.73334503173828
0.66,3379.45,13.74,110.0,23861.21,0.04,-0.273914,78.1857241848695,79.58419966424822,78.1857241848695,79.57933807373047
-0.09,3373.94,14.15,109.81,23827.73,0.02,-0.366892,78.84727400003312,79.34099641209264,78.64297583872676,79.01265716552734
0.15,3380.16,13.68,109.77,23687.59,0.01,-0.469121,78.98104726751647,79.28263666385791,78.52137820776647,79.0321273803711
-0.19,3370.29,14.83,109.8,23193.8,-0.03,-0.971003,76.69969206512395,77.76740130959634,76.51728221060574,77.58499145507812
0.6,3386.15,14.38,111.17,23400.7,-0.02,-1.11976,77.82818797515743,78.93967356602352,77.82818797515743,78.7086181640625
-0.35,3373.23,15.56,111.86,23479.15,-0.06,-1.27793,78.46785961810504,78.95914750812162,77.39285423141268,77.90116882324219
-1.12,3337.75,17.08,111.74,23386.74,-0.1,-1.44558,77.49257752985316,77.93766177876704,75.51768781544824,76.13787841796875
-3.39,3225.89,25.03,110.56,0.0,-0.15,-2.00683,72.29753409783306,73.98056472411173,70.34453304999784,72.52128601074219
-3.09,3128.21,27.85,110.23,22605.41,-0.2,-2.21463,73.19499378439849,73.57926726054262,69.59057344885551,70.06483459472656
-0.53,3116.39,27.56,110.36,22426.19,-0.2,-2.43305,69.68785972867845,72.4483303133682,69.68056363147195,71.17632293701172
-4.22,2978.76,39.16,110.15,21948.23,-0.15,-2.66218,68.36721860355428,69.55896156550094,66.38745998092044,66.5236587524414
-0.78,2954.22,40.11,108.12,21142.96,-0.14,-2.90211,62.56900836622377,67.71296426617234,62.35254513109103,66.48473358154297
4.31,3090.23,33.42,108.02,21344.08,-0.03,-3.74002,68.65421644378947,73.31418188296577,67.5451649320824,72.67453002929688
-2.79,3003.37,36.82,107.28,21082.73,0.07,-4.12891,73.85652645307353,73.9367835114791,69.51030205602666,70.36641693115234
4.03,3130.12,31.99,107.34,21100.06,0.3,-4.58156,72.0980933559727,73.79085448656329,71.29305857314273,73.63033294677734
-3.38,3023.94,39.62,106.56,21329.12,0.3,-5.09815,71.87433729891148,72.85448585855421,70.87473495580866,71.24198913574219
-1.78,2972.37,41.94,105.31,20749.75,0.29,-5.67887,68.58610279766465,70.7312443899165,68.398831359208,70.29589080810547
-7.79,2746.56,54.46,102.52,19698.76,0.21,-7.8057,64.14745920279152,67.63513438782665,63.9650493661959,64.73603820800781
4.74,2882.23,47.3,103.71,19867.12,0.32,-8.64035,67.4040793556766,69.66595812478643,65.51430889526905,69.39842224121094
-5.05,2741.38,53.9,104.81,19416.06,0.4,-9.53794,67.4648927695765,68.39639577891985,66.11991705370896,66.98818969726562
-9.63,2480.64,75.47,105.67,18559.63,0.55,-10.4988,62.24796213128128,65.66753776324454,60.31684950105425,60.37278747558594
8.96,2711.02,57.83,107.15,17431.05,0.66,-11.5234,64.42473968642803,68.08023330753966,61.52077015323383,67.60596466064453
-12.0,2386.13,82.69,105.64,17002.04,0.49,-14.8671,58.8454192815857,63.011657902909214,58.371154394359145,58.90865707397461
5.87,2529.19,75.91,107.41,17011.53,0.83,-15.9183,60.197686616202944,62.654137253312776,57.9820146272473,61.49887847900391
-5.56,2398.1,76.45,108.45,16726.55,1.16,-16.9191,58.31521241095901,60.80328165725532,57.67069539870944,59.99338150024414
1.31,2409.39,72.0,110.08,16552.83,1.08,-17.8699,60.16850076154632,61.49401168090346,59.00594220662541,59.5337142944336
-4.15,2304.92,66.04,111.3,0.0,0.87,-18.7711,60.117421472251664,61.24836478692388,55.452595282062944,55.754180908203125
-2.55,2237.4,61.59,111.36,16887.78,0.74,-21.1605,55.4720589530723,55.574208036730994,51.70955100485419,54.56973648071289
9.34,2447.33,61.67,111.44,18092.35,0.83,-21.8264,57.48585341066676,60.24145851610214,56.9848349753399,60.0444564819336
1.18,2475.56,63.95,111.43,19546.63,0.88,-22.4242,60.98569540599957,62.80979397248012,59.41697138105391,59.71369171142578
6.02,2630.07,61.0,109.45,18664.6,0.83,-22.954,59.95690634075076,62.91437540276122,59.91799134636083,62.85600662231445
-3.48,2541.47,65.54,108.16,19389.43,0.69,-23.4162,61.47212433593874,62.230948184687584,60.08581010797904,60.25362777709961
3.16,2626.65,57.08,108.06,19084.97,0.58,-24.5236,60.98326890263023,62.14582750726444,60.65736044868314,61.97314453125
-1.44,2584.59,53.54,107.53,18917.01,0.59,-24.9677,62.16528057676936,63.84101526548802,61.28971178115479,61.8466682434082
-4.5,2470.5,57.06,107.05,18065.41,0.53,-25.4705,59.95204029692155,60.49197377620272,58.15956060420861,58.59247970581055
2.1,2526.9,50.91,107.85,17818.72,0.54,-25.8702,58.45384304841087,59.62369761543015,57.617189283494376,59.5701904296875
-1.64,2488.65,46.8,108.53,17820.19,0.52,-26.1669,59.05214690247511,59.757463473476015,58.12064019769152,58.71408081054688
7.06,2663.68,45.24,109.11,18576.3,0.52,-26.5066,61.02217704791052,63.99180749211314,60.65249573679247,63.83615493774414
-0.11,2659.41,46.7,108.97,18950.18,0.61,-26.5244,65.86212284284652,66.08102063159333,62.99221043295837,63.0967903137207
3.4,2749.98,43.35,108.7,19353.24,0.55,-26.5057,63.90181939760944,65.02789744750055,63.53457259548863,64.71172332763672
1.59,2789.82,41.67,108.38,19345.77,0.48,-26.4503,65.35136707589142,65.68456785642029,64.37851461430628,65.17868041992188
-0.92,2761.63,41.17,107.59,19043.4,0.5,-25.8359,65.25650402836072,66.56742615507675,64.65333288903574,66.45797729492188
3.02,2846.06,37.76,107.08,19638.81,0.56,-25.545,68.09967389087922,70.10618213944976,67.62540533594328,69.81432342529297
-2.15,2783.36,40.84,107.42,19550.09,0.49,-25.1912,68.68339398272448,69.63921990741926,68.25290936729039,69.17711639404297
0.62,2799.55,40.11,107.72,19290.2,0.47,-24.7744,69.89460143220309,70.0940380113803,68.67123949362012,69.7267837524414
2.72,2874.56,38.15,107.52,19897.26,0.53,-24.2944,69.24033118344674,69.78999511020126,67.33596864235464,68.78065490722656
-1.56,2823.16,43.83,107.69,19669.12,0.51,-22.4774,67.60109423435676,68.50827448291334,67.33355829984944,67.35301208496094
-3.08,2736.56,45.41,107.69,19280.78,0.47,-21.751,67.19491954798411,67.43083656794423,64.55605574878716,65.27110290527344
2.31,2799.31,41.98,107.81,19137.95,0.51,-20.9644,66.54554020090646,67.58892659530838,66.2026162230003,67.1511459350586
0.13,2797.8,41.38,107.65,19429.44,0.5,-20.1174,67.09521308016645,68.52530764466279,66.85199992082424,66.89091491699219
1.44,2836.74,35.93,107.44,19262.0,0.48,-19.2096,67.41868435976647,68.83175208806547,67.37003876358999,68.822021484375
1.73,2878.48,33.29,107.22,19783.22,0.55,-16.1131,68.53745827521142,69.20386731032525,68.08751991458772,68.87066650390625
-0.45,2863.39,33.57,106.83,19771.19,0.51,-14.9489,69.33519595567067,69.5176058034892,67.66189585306037,67.75431060791016
2.92,2939.51,31.23,106.67,0.0,0.53,-13.7172,69.25008163239175,70.45155516567527,69.04578348072053,69.97972106933594
-1.18,2912.43,34.15,106.94,20193.69,0.55,-12.4175,70.52207898696545,71.63356480220592,70.13050939986145,71.45601654052734
-2.91,2830.71,37.19,106.76,19619.35,0.52,-11.0492,69.61976306226633,72.72073067464675,69.52247928829394,70.30562591552734
0.54,2842.74,35.97,106.82,0.0,0.51,-7.30843,70.32994362582876,71.42926429449952,69.6367847252306,71.30036163330078
0.95,2868.44,33.61,106.52,0.0,0.53,-6.16948,71.76246582980514,73.20715242154051,71.61653646676885,72.37049865722656
-0.52,2848.42,34.12,106.07,0.0,0.6,-5.0823,73.07579986366909,73.75193192848516,72.68909195753832,73.11714935302734
1.33,2881.19,31.44,106.36,19674.77,0.52,-4.04644,73.74707464880186,74.22134315094243,73.44305828134624,73.87354278564453
1.9,2929.8,27.98,106.5,20179.09,0.57,-3.06151,74.53687080763767,75.68550321100949,74.20764287377891,75.63185119628906
0.07,2930.32,27.57,107.7,20390.66,0.61,-0.394626,75.1368150222116,77.31946060913405,74.92708164994391,76.82196807861328
-2.06,2870.12,33.04,107.33,20366.48,0.56,0.418057,77.50967396211276,77.96327881273206,75.82208738485426,75.94402313232422
-1.89,2820.0,35.28,106.92,20267.05,0.51,1.19546,76.1244908945312,77.05120710448317,73.94427898437623,75.02706909179688
1.14,2852.5,32.61,107.09,19914.78,0.51,1.93789,74.2613028913568,75.54894394104562,73.53456323952857,75.48797607421875
0.57,2863.7,31.89,107.27,20037.47,0.52,2.64563,73.24681148111374,75.08803845403976,73.21266589646153,75.04170227050781
3.24,2953.91,29.3,107.25,20133.73,0.6,4.55947,76.37324403252737,77.18533288587912,75.67820874081602,76.80976867675781
-1.01,2922.94,30.53,107.89,20433.45,0.57,5.12309,76.82683426096116,77.67794336913389,76.33421653641534,76.36592102050781
1.8,2971.61,27.99,107.46,20595.15,0.56,5.64926,77.22923548949896,77.92182975197522,77.19021515103104,77.85111236572266
-0.7,2948.51,29.53,107.69,20552.31,0.56,6.13819,77.71211311012253,78.25594937452584,77.03170936591408,77.27070617675781
0.27,2955.45,28.16,107.5,20388.16,0.54,6.59007,77.00731067752001,77.8511115334267,76.9048888022092,77.76819610595703
