DATE,AMERIBOR
2015-12-11,0.25333
2015-12-12,.
2015-12-13,.
2015-12-14,0.21
2015-12-15,0.22
2015-12-16,0.22
2015-12-17,0.365
2015-12-18,0.45
2015-12-19,.
2015-12-20,.
2015-12-21,0.506
2015-12-22,0.45
2015-12-23,0.45
2015-12-24,0.45
2015-12-25,.
2015-12-26,.
2015-12-27,.
2015-12-28,0.49667000000000006
2015-12-29,0.47500000000000003
2015-12-30,0.5
2015-12-31,0.524
2016-01-01,.
2016-01-02,.
2016-01-03,.
2016-01-04,0.532
2016-01-05,0.5
2016-01-06,0.5
2016-01-07,0.5
2016-01-08,0.53
2016-01-09,.
2016-01-10,.
2016-01-11,0.5
2016-01-12,0.5
2016-01-13,0.5
2016-01-14,0.5
2016-01-15,0.5
2016-01-16,.
2016-01-17,.
2016-01-18,.
2016-01-19,0.524
2016-01-20,0.524
2016-01-21,0.524
2016-01-22,0.5242300000000001
2016-01-23,.
2016-01-24,.
2016-01-25,0.532
2016-01-26,0.532
2016-01-27,0.532
2016-01-28,0.53
2016-01-29,0.53
2016-01-30,.
2016-01-31,.
2016-02-01,0.53
2016-02-02,0.53
2016-02-03,0.52
2016-02-04,0.535
2016-02-05,0.535
2016-02-06,.
2016-02-07,.
2016-02-08,0.535
2016-02-09,0.535
2016-02-10,0.535
2016-02-11,0.52
2016-02-12,0.36
2016-02-13,.
2016-02-14,.
2016-02-15,.
2016-02-16,0.52
2016-02-17,0.5273300000000001
2016-02-18,0.52
2016-02-19,0.52
2016-02-20,.
2016-02-21,.
2016-02-22,0.52
2016-02-23,0.52
2016-02-24,0.52
2016-02-25,0.52
2016-02-26,0.52
2016-02-27,.
2016-02-28,.
2016-02-29,0.52
2016-03-01,0.52
2016-03-02,0.55
2016-03-03,0.52
2016-03-04,0.52
2016-03-05,.
2016-03-06,.
2016-03-07,0.52
2016-03-08,0.52
2016-03-09,0.52
2016-03-10,0.52
2016-03-11,0.52
2016-03-12,.
2016-03-13,.
2016-03-14,0.52
2016-03-15,0.52
2016-03-16,0.52
2016-03-17,0.52
2016-03-18,0.38
2016-03-19,.
2016-03-20,.
2016-03-21,0.56091
2016-03-22,0.5623100000000001
2016-03-23,0.5623100000000001
2016-03-24,0.56357
2016-03-25,0.5675
2016-03-26,.
2016-03-27,.
2016-03-28,0.558
2016-03-29,0.55167
2016-03-30,0.56083
2016-03-31,0.56125
2016-04-01,0.56286
2016-04-02,.
2016-04-03,.
2016-04-04,0.56286
2016-04-05,0.56286
2016-04-06,0.56286
2016-04-07,0.56286
2016-04-08,0.5655600000000001
2016-04-09,.
2016-04-10,.
2016-04-11,0.5637500000000001
2016-04-12,0.5630000000000001
2016-04-13,0.56222
2016-04-14,0.5625
2016-04-15,0.5625
2016-04-16,.
2016-04-17,.
2016-04-18,0.56333
2016-04-19,0.55625
2016-04-20,0.5571400000000001
2016-04-21,0.55588
2016-04-22,0.5637500000000001
2016-04-23,.
2016-04-24,.
2016-04-25,0.56
2016-04-26,0.56
2016-04-27,0.56
2016-04-28,0.55696
2016-04-29,0.55762
2016-04-30,.
2016-05-01,.
2016-05-02,0.55696
2016-05-03,0.56
2016-05-04,0.56738
2016-05-05,0.5684800000000001
2016-05-06,0.56935
2016-05-07,.
2016-05-08,.
2016-05-09,0.5692900000000001
2016-05-10,0.5731
2016-05-11,0.5731
2016-05-12,0.5731
